"ProjectId","Completed","Title","Project Lead","Institution","Submitted Time","Keywords","Results"
"18","","Privacy preserving gene read mapping using hybrid cloud","Yangyi Chen","Indiana University Bloomington, School of Informatics and Computing","10/04/2010 - 12:09","Security/Privacy, Bioinformatics, Hybrid, Cloud, Hadoop","See Link"
"16","","FutureGrid and Tempest/Madrid/Storm Support","John Naab","Indiana University, CGL","09/22/2010 - 01:20","FutureGrid, Tempest/Madrid/Storm, Support","See Link"
"17","X","Comparison of MapReduce Systems","Judy Qiu","Indiana University, School of Informatics and Computing","09/22/2010 - 06:36","Twister, Hadoop, Dryad","See Link"
"12","","The Virtual Block Store system","Xiaoming Gao","Indiana University, Pervasive Technology Institute","09/14/2010 - 22:23","Virtual, Block, Store, Eucalyptus, Nimbus, Lustre, Dataintensive",""
"13","","FutureGrid Systems Development and Prototyping","Koji Tanaka","Indiana University, Community Grids Laboratory","09/15/2010 - 11:24","Grid, Cloud, ScaleMP",""
"14","X","Course: Distributed Scientific Computing Class","Shantenu Jha","Louisiana State University, Center for Computation & Technology","09/15/2010 - 12:20","dataintensive, SAGA, Research, and, Education, Eucalyptus","See Link"
"15","","Grid Appliance","Panoat Chuchaisri","University of Florida, Computer and Information Sciences and Engineering","09/15/2010 - 15:25","Grid, Appliance, Clouds, Nimbus, Eucalyptus",""
"6","","Parameter sweeps for multi-cell models on FutureGrid","Randy Heiland","Indiana University, School of Informatics and Computing","09/14/2010 - 08:41","Biocomplexity, Clouds, TeraGrid, HPC",""
"10","","TeraGrid XD TIS(Technology Insertion Service) Technology Evaluation Laboratory","John Lockman ","University of Texas at Austin, Texas Advanced Computing Center","09/10/2010 - 11:18","TeraGrid, Technology, Insertion, Service",""
"1","","Peer-to-peer overlay networks and applications in virtual networks and virtual clusters","Renato Figueiredo","University of Florida, Electrical and Computer Engineering","09/08/2010 - 11:47","P2P, HPC, Virtual Networking, Cybersecurity, Resource Discovery","See Link"
"80","","Genesis II testing","Andrew Grimshaw","University of Virginia, Computer Science","08/20/2010 - 12:00","XD, XSEDE, testing, grid software","See Link"
"71","X","Course: B649 Topics on Systems Graduate Cloud Computing Class","Judy Qiu","Indiana University, School of Informatics and Computing","08/01/2010 - 12:00","Education, MapReduce, Hadoop, Twister, Dryad","See Link"
"77","X","Periodogram Workflow Running on FutureGrid Using Pegasus","Jens-S. Vöckler","University of Southern California, Information Sciences Institute","08/01/2010 - 12:00","Sky computing, Periodogram Workflow, Pegasus","See Link"
"70","X","Big Data for Science Summer School July 26-30 2010","Judy Qiu","Indiana University, School of Informatics and Computing","07/01/2010 - 12:00","Education, Hadoop, Twister, Data Intensive","See Link"
"73","X","TeraGrid QA Testing and Debugging","Shava Smallen","UC San Diego, San Diego Supercomputer Center","07/01/2010 - 12:00","TeraGrid, GRAM5, GridFTP5, QA","See Link"
"74","X","Sky Computing","Pierre Riteau","University of Chicago, Computation Institute","07/01/2010 - 12:00","sky computing, federated clouds","See Link"
"75","X","Cumulus","John Bresnahan","Nimbus, Argonne National Lab","07/01/2010 - 12:00","Cloud, Storage, Cumulus","See Link"
"76","X","Differentiated Leases for Infrastructure-as-a-Service","Paul Marshall","University of Colorado at Boulder, Computer Science","07/01/2010 - 12:00","IaaS","See Link"
"26","","Bioinformatics and Clouds","John Conery","University of Oregon, Center for Ecology and Evolutionary Biology","10/26/2010 - 12:28","Clouds, Bioinformatics","See Link"
"46","","Data Analysis in the Cloud","Amy Apon","Clemson University, School of Computing","11/29/2010 - 23:08","Virtual, Machines, Data-intensive, Minorities, Education",""
"68","","CFD and Workload Management Experimentation","John
 Duer","Cummins Inc., Combustion Research","12/20/2010 - 07:33","CFD, HPC, Cray, India",""
"45","","Experiments in Distributed Computing","Shantenu Jha","Louisiana State University, Center for Computation & Technology","11/28/2010 - 22:51","Education, Research, SAGA, OGF, Standards, Dataintensive","See Link"
"56","X","Windows and Linux performance comparison","Robert Henschel","Indiana University, RT","12/08/2010 - 14:53","sierra, Linux, Windows, Benchmarking","See Link"
"215","","FuturGrid Directory Entry","Gregor von Laszewski","Indiana University, Community Grids Laboratory","05/14/2012 - 11:01","",""
